algorithm,case,accelerator_on,passed,result,latency_ns,instruction_count,expanded_nodes,visited_cells,peak_stack_depth,throughput_cells_per_s,hw_clock_mhz,iterations,warmup_iterations,latency_ns_min,latency_ns_median,latency_ns_max,latency_ns_stddev,throughput_ops_sustained
number_of_islands,noi_classic_4c,1,1,3,13160,0,7,7,2,531914.89,199.998,50,5,13010,13160,14790,376.03,75987.84
number_of_islands,noi_classic_8c,1,1,1,13160,0,7,7,3,531894.68,199.998,50,5,12960,13160,14990,367.70,75984.95
number_of_islands,noi_checker_4c,1,1,8,13250,0,8,8,1,603750.80,199.998,50,5,12940,13250,15020,348.83,75468.85
number_of_islands,noi_checker_8c,1,1,1,13170,0,8,8,5,607441.15,199.998,50,5,12970,13170,14700,354.45,75930.14
number_of_islands,noi_all_water,1,1,0,12260,0,0,0,0,0.00,199.998,50,5,11881,12260,13970,336.27,81566.07
number_of_islands,noi_all_land_4c,1,1,1,13196,0,9,9,3,682050.70,199.998,50,5,12850,13196,30850,2486.92,75783.41
unique_paths_iii,up3_one_obstacle,1,1,2,38901,0,95,95,11,2442096.60,199.998,50,5,38011,38901,40490,458.92,25706.28
unique_paths_iii,up3_open,1,1,4,65540,0,195,195,12,2975259.57,199.998,50,5,65311,65540,67191,401.99,15257.74
unique_paths_iii,up3_no_path,1,1,0,13185,0,5,5,3,379218.81,199.998,50,5,12850,13185,15120,437.44,75843.76
word_search_ii,ws2_classic,1,1,2,18530,0,41,9,5,2212568.47,199.998,50,5,18191,18530,20350,398.16,53965.08
word_search_ii,ws2_small,1,1,4,16726,0,10,7,4,597889.45,199.998,50,5,16330,16726,18200,337.79,59788.95
word_search_ii_nopruning,ws2_classic,1,1,2,16775,0,57,7,4,3397913.56,199.998,50,5,16590,16775,79420,8766.26,59612.52
word_search_ii_nopruning,ws2_small,1,1,4,14920,0,18,8,4,1206434.32,199.998,50,5,14600,14920,16680,358.67,67024.13
longest_increasing_path,lip_desc,1,1,4,15845,0,18,0,2,1136005.05,199.998,50,5,15660,15845,17450,303.77,63111.39
longest_increasing_path,lip_zigzag,1,1,4,15850,0,18,0,4,1135646.69,199.998,50,5,15600,15850,17310,300.59,63091.48
longest_increasing_path,lip_single,1,1,1,12320,0,1,0,1,81165.54,199.998,50,5,12060,12320,13850,314.66,81165.54
longest_increasing_path_nomemo,lip_desc,1,1,4,19406,0,23,0,4,1185230.99,199.998,50,5,19130,19406,21021,327.58,51531.78
longest_increasing_path_nomemo,lip_zigzag,1,1,4,19405,0,23,0,4,1185261.53,199.998,50,5,19011,19405,20990,331.11,51533.11
longest_increasing_path_nomemo,lip_single,1,1,1,12275,0,1,0,1,81466.40,199.998,50,5,12020,12275,13960,329.29,81466.40
pacific_atlantic,pa_classic,1,1,7,16710,0,32,32,9,1915020.95,199.998,50,5,16510,16710,18260,313.37,59844.40
pacific_atlantic,pa_single,1,1,1,12250,0,2,2,1,163265.31,199.998,50,5,11920,12250,13980,345.15,81632.65
